key,value,date
Service,0,03/05/17
Technical/Computing,4,03/06/17
Directional,0,03/06/17
Reference,3,03/06/17
Service,1,03/06/17
Technical/Computing,1,03/07/17
Directional,0,03/07/17
Reference,6,03/07/17
Service,1,03/07/17
Technical/Computing,1,03/08/17
Directional,1,03/08/17
Reference,7,03/08/17
Service,1,03/08/17
Technical/Computing,1,03/09/17
Directional,1,03/09/17
Reference,2,03/09/17
Service,0,03/09/17
Technical/Computing,2,03/10/17
Directional,2,03/10/17
Reference,0,03/10/17
Service,3,03/10/17
Technical/Computing,0,03/11/17
Directional,0,03/11/17
Reference,0,03/11/17
Service,0,03/11/17
Technical/Computing,3,03/12/17
Directional,0,03/12/17
Reference,0,03/12/17
Service,0,03/12/17
Technical/Computing,1,03/13/17
Directional,2,03/13/17
Reference,3,03/13/17
Service,4,03/13/17
Technical/Computing,0,03/14/17
Directional,1,03/14/17
Reference,0,03/14/17
Service,1,03/14/17
Technical/Computing,0,03/15/17
Directional,0,03/15/17
Reference,1,03/15/17
Service,2,03/15/17
Technical/Computing,1,03/16/17
Directional,0,03/16/17
Reference,4,03/16/17
Service,1,03/16/17
Technical/Computing,1,03/17/17
Directional,0,03/17/17
Reference,0,03/17/17
Service,1,03/17/17
Technical/Computing,0,03/18/17
Directional,0,03/18/17
Reference,0,03/18/17
Service,0,03/18/17
Technical/Computing,0,03/19/17
Directional,0,03/19/17
Reference,0,03/19/17
Service,0,03/19/17
Technical/Computing,1,03/20/17
Directional,0,03/20/17
Reference,0,03/20/17
Service,3,03/20/17
Technical/Computing,0,03/21/17
Directional,0,03/21/17
Reference,0,03/21/17
Service,0,03/21/17
Technical/Computing,0,03/22/17
Directional,0,03/22/17
Reference,0,03/22/17
Service,0,03/22/17
Technical/Computing,0,03/23/17
Directional,0,03/23/17
Reference,1,03/23/17
Service,0,03/23/17
Technical/Computing,0,03/24/17
Directional,0,03/24/17
Reference,0,03/24/17
Service,0,03/24/17
Technical/Computing,0,03/25/17
Directional,0,03/25/17
Reference,0,03/25/17
Service,0,03/25/17
Technical/Computing,0,03/26/17
Directional,0,03/26/17
Reference,0,03/26/17
Service,0,03/26/17
Technical/Computing,0,03/27/17
Directional,2,03/27/17
Reference,4,03/27/17
Service,3,03/27/17
Technical/Computing,0,03/28/17
Directional,0,03/28/17
Reference,2,03/28/17
Service,2,03/28/17
Technical/Computing,0,03/29/17
Directional,0,03/29/17
Reference,7,03/29/17
Service,3,03/29/17
Technical/Computing,1,03/30/17
Directional,1,03/30/17
Reference,3,03/30/17
Service,1,03/30/17
Technical/Computing,0,03/31/17
Directional,0,03/31/17
Reference,0,03/31/17
Service,0,03/31/17
Technical/Computing,0,04/01/17
Directional,0,04/01/17
Reference,0,04/01/17
Service,0,04/01/17
Technical/Computing,0,04/02/17
Directional,0,04/02/17
Reference,0,04/02/17
Service,0,04/02/17
Technical/Computing,1,04/03/17
Directional,0,04/03/17
Reference,1,04/03/17
Service,5,04/03/17
Technical/Computing,1,04/04/17
Directional,0,04/04/17
Reference,2,04/04/17
Service,2,04/04/17
Technical/Computing,3,04/05/17
Directional,0,04/05/17
Reference,3,04/05/17
Service,4,04/05/17
Technical/Computing,2,04/06/17
Directional,0,04/06/17
Reference,1,04/06/17
Service,1,04/06/17
Technical/Computing,0,04/07/17
Directional,1,04/07/17
Reference,1,04/07/17
Service,1,04/07/17
Technical/Computing,0,04/08/17
Directional,0,04/08/17
Reference,0,04/08/17
Service,2,04/08/17
Technical/Computing,2,04/09/17
Directional,0,04/09/17
Reference,0,04/09/17
Service,0,04/09/17
Technical/Computing,2,04/10/17
Directional,1,04/10/17
Reference,4,04/10/17
Service,0,04/10/17
Technical/Computing,5,04/11/17
Directional,2,04/11/17
Reference,3,04/11/17
Service,6,04/11/17
Technical/Computing,2,04/12/17
Directional,1,04/12/17
Reference,2,04/12/17
Service,4,04/12/17
Technical/Computing,0,04/13/17
Directional,0,04/13/17
Reference,0,04/13/17
Service,0,04/13/17
Technical/Computing,2,04/14/17
Directional,3,04/14/17
Reference,0,04/14/17
Service,2,04/14/17
Technical/Computing,0,04/15/17
Directional,0,04/15/17
Reference,0,04/15/17
Service,0,04/15/17
Technical/Computing,0,04/16/17
Directional,0,04/16/17
Reference,0,04/16/17
Service,0,04/16/17
Technical/Computing,3,04/17/17
Directional,0,04/17/17
Reference,4,04/17/17
Service,1,04/17/17
Technical/Computing,5,04/18/17
Directional,0,04/18/17
Reference,1,04/18/17
Service,2,04/18/17
Technical/Computing,1,04/19/17
Directional,1,04/19/17
Reference,5,04/19/17
Service,7,04/19/17
Technical/Computing,0,04/20/17
Directional,0,04/20/17
Reference,3,04/20/17
Service,1,04/20/17
Technical/Computing,2,04/21/17
Directional,0,04/21/17
Reference,0,04/21/17
Service,4,04/21/17
Technical/Computing,0,04/22/17
Directional,0,04/22/17
Reference,0,04/22/17
Service,1,04/22/17
Technical/Computing,0,04/23/17
Directional,0,04/23/17
Reference,0,04/23/17
Service,0,04/23/17
Technical/Computing,1,04/24/17
Directional,1,04/24/17
Reference,4,04/24/17
Service,5,04/24/17
Technical/Computing,2,04/25/17
Directional,0,04/25/17
Reference,0,04/25/17
Service,2,04/25/17
Technical/Computing,1,04/26/17
Directional,1,04/26/17
Reference,2,04/26/17
Service,3,04/26/17
Technical/Computing,3,04/27/17
Directional,2,04/27/17
Reference,1,04/27/17
Service,3,04/27/17
Technical/Computing,0,04/28/17
Directional,2,04/28/17
Reference,1,04/28/17
Service,0,04/28/17
Technical/Computing,0,04/29/17
Directional,0,04/29/17
Reference,1,04/29/17
Service,0,04/29/17
Technical/Computing,0,04/30/17
Directional,0,04/30/17
Reference,0,04/30/17
Service,0,04/30/17
Technical/Computing,0,05/01/17
Directional,0,05/01/17
Reference,1,05/01/17
Service,5,05/01/17
Technical/Computing,1,05/02/17
Directional,0,05/02/17
Reference,3,05/02/17
Service,3,05/02/17
Technical/Computing,3,05/03/17
Directional,0,05/03/17
Reference,5,05/03/17
Service,4,05/03/17
Technical/Computing,1,05/04/17
Directional,0,05/04/17
Reference,0,05/04/17
Service,3,05/04/17
Technical/Computing,0,05/05/17
Directional,0,05/05/17
Reference,0,05/05/17
Service,2,05/05/17
